Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\RequestGeneration\EntityFetcher.cs,71,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\RequestGeneration\EntityFetcher.cs,65,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\RequestGeneration\CompanyExportRequestGenerator.cs,128,12,T:System.Xml.Serialization.XmlSerializer,,,,,XmlSerializer xsSubmit = new XmlSerializer(typeof(Company));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\RequestGeneration\CompanyExportRequestGenerator.cs,97,20,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\RequestGeneration\CompanyExportRequestGenerator.cs,92,20,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\RequestGeneration\CompanyExportRequestGenerator.cs,72,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\RequestGeneration\CompanyExportRequestGenerator.cs,67,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,678,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,673,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,631,16,T:System.Net.Http.HttpContent,,,,,return httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,627,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(requestJson, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,603,16,T:System.Net.Http.HttpContent,,,,,return httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,599,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(requestJson, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,573,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,568,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,534,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,529,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,505,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,500,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,451,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,446,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,278,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,260,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,242,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,237,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,217,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,212,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,191,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,173,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,168,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,148,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,143,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,95,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,90,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,74,16,T:System.Net.Http.HttpContent,,,,,string content = httpResponse.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShipExecNavigator.BusinessLogic\ShipExecNavigator.BusinessLogic.csproj,File,ShipExecNavigator.BusinessLogic\AppManager.cs,69,16,T:System.Net.Http.HttpContent,,,,,"requestMessage.Content = new StringContent(json, Encoding.UTF8, ""application/json"");"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,ShipExecNavigator.ClientSpecificLogic\ShipExecNavigator.ClientSpecificLogic.csproj,File,ShipExecNavigator.ClientSpecificLogic\ShipExecNavigator.ClientSpecificLogic.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ShipExecNavigator.ClientSpecificLogic\ShipExecNavigator.ClientSpecificLogic.csproj,File,ShipExecNavigator.ClientSpecificLogic\ShipExecNavigator.ClientSpecificLogic.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShipExecNavigator.Model\ShipExecNavigator.Model.csproj,File,ShipExecNavigator.Model\ShipExecNavigator.Model.csproj,,,Microsoft.AspNet.Identity.Core 2.2.4,,,,,"Microsoft.AspNet.Identity.Core, 2.2.4  Recommendation:  No supported version found"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,ShipExecNavigator.Model\ShipExecNavigator.Model.csproj,File,ShipExecNavigator.Model\ShipExecNavigator.Model.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ShipExecNavigator.Model\ShipExecNavigator.Model.csproj,File,ShipExecNavigator.Model\ShipExecNavigator.Model.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
