Act_Num,Status,PUP_Name,PUP_Address,PUP_City,PUP_State,PUP_Zip,Symbol
551R12,A,WESBANCO NEWPORT,103 CHURCHILL DR ,NEWPORT,KY,41071-2506,103_CHURCHILL_DR_
551R15,A,ORCHARD,986 N MAIN ST ,NICHOLASVILLE,KY,40356-2308,986_N_MAIN_ST_
551R18,A,VERSAILLES MAIN,100 UNITED DR ,VERSAILLES,KY,40383-2408,100_UNITED_DR_
551R20,A,WEST PARK,201 WEST PARK SHOPPING CTR ,LAWRENCEBURG,KY,40342,201_WEST_PARK_SHOPPING_CTR_
551R22,A,GEORGETOWN MAIN,200 E MAIN ST ,GEORGETOWN,KY,40324-1712,200_E_MAIN_ST_
551R28,A,RING ROAD FFKT,3030 RING RD ,ELIZABETHTOWN,KY,42701-7932,3030_RING_RD_
551R30,A,SIR BARTON FFKT,2509 SIR BARTON WAY ,LEXINGTON,KY,40509-2275,2509_SIR_BARTON_WAY_
551R31,A,RADCLIFF FFKT,645 S DIXIE BLVD ,RADCLIFF,KY,40160-1219,645_S_DIXIE_BLVD_
551R32,A,WEST DIXIE FFKT,425 W DIXIE AVE ,ELIZABETHTOWN,KY,42701-2432,425_W_DIXIE_AVE_
551RX6,A,ALEXANDRIA,7300 ALEXANDRIA PIKE ,ALEXANDRIA,KY,41001-1038,7300_ALEXANDRIA_PIKE_
551RX8,A,BELLEVUE KY,164 FAIRFIELD AVE ,BELLEVUE,KY,41073-1059,164_FAIRFIELD_AVE_
551RX9,A,BRADFORD,100 N BRADFORD LN ,GEORGETOWN,KY,40324-2337,100_N_BRADFORD_LN_
551RY7,A,FORT THOMAS,34 N FORT THOMAS AVE ,FORT THOMAS,KY,41075-1539,34_N_FORT_THOMAS_AVE_
551RY8,A,FRANKFORT MAIN,125 W MAIN ST ,FRANKFORT,KY,40601-2807,125_W_MAIN_ST_
551RY9,A,FRANKFORT EAST,154 VERSAILLES RD ,FRANKFORT,KY,40601-3208,154_VERSAILLES_RD_
6V54Y7,A,WESBANCO TRUST BUILDING,201 W MAIN ST ,FRANKFORT,KY,40601-1867,201_W_MAIN_ST_
7634AW,A,WESBANCO - Wellsburg,745 CHARLES ST ,WELLSBURG,WV,26070-1615,745_CHARLES_ST_
7R102Y,A,WESBANCO - Ironton,311 S 5TH ST ,IRONTON,OH,45638-1609,311_S_5TH_ST_
7R1033,A,WESBANCO - Mason,6501 S MASON MONTGOMERY RD ,MASON,OH,45040-3711,6501_S_MASON_MONTGOMERY_RD_
7R1036,A,WESBANCO - Franklin,310 S MAIN ST ,FRANKLIN,OH,45005-2228,310_S_MAIN_ST_
7R103Y,A,WESBANCO - Blue Ash,4811 COOPER RD ,CINCINNATI,OH,45242-6912,4811_COOPER_RD_
7R1044,A,WESBANCO - Jackson Insurance,317 RALPH ST ,JACKSON,OH,45640-2036,317_RALPH_ST_
7R10R9,A,WESBANCO - Chillicothe,49 E WATER ST ,CHILLICOTHE,OH,45601-2535,49_E_WATER_ST_
88X245,A,WESBANCO - Brighton Rd.,3300 BRIGHTON RD ,PITTSBURGH,PA,15212-2334,3300_BRIGHTON_RD_
88X431,A,WESBANCO - Zelienople,251 S MAIN ST ,ZELIENOPLE,PA,16063-1151,251_S_MAIN_ST_
88X46X,A,WESBANCO - Perrysville,1009 PERRY HWY ,PITTSBURGH,PA,15237-2108,1009_PERRY_HWY_
88X481,A,WESBANCO - Carnegie,100 BROADWAY ST ,CARNEGIE,PA,15106-2472,100_BROADWAY_ST_
88X50E,A,WESBANCO - McCandless,617 DUNCAN AVE ,PITTSBURGH,PA,15237-5854,617_DUNCAN_AVE_
88X51V,A,WESBANCO - Bellevue PA,683 LINCOLN AVE ,PITTSBURGH,PA,15202-3422,683_LINCOLN_AVE_
88X584,A,WESBANCO - Bloomfield,4710 LIBERTY AVE ,PITTSBURGH,PA,15224,4710_LIBERTY_AVE_
8Y904E,A,DAMASCUS WESBANCO,26500 RIDGE RD ,DAMASCUS,MD,20872-1915,26500_RIDGE_RD_
8Y907V,A,GLEN BURNIE WESBANCO,427 CRAIN HWY N ,GLEN BURNIE,MD,21061-3008,427_CRAIN_HWY_N_
8Y9093,A,GREENBELT WESBANCO,6421 IVY LN ,GREENBELT,MD,20770-1442,6421_IVY_LN_
8Y90A1,A,CANTON WESBANCO,531 S CONKLING ST ,BALTIMORE,MD,21224-4202,531_S_CONKLING_ST_
8Y90Y1,A,CLINTON WESBANCO,7801 OLD BRANCH AVE ,CLINTON,MD,20735-1608,7801_OLD_BRANCH_AVE_
8Y9165,A,MOUNT AIRY WESBANCO,201 E RIDGEVILLE BLVD ,MOUNT AIRY,MD,21771-5257,201_E_RIDGEVILLE_BLVD_
8Y918W,A,PERRY HALL WESBANCO,4040 SCHROEDER AVE ,PERRY HALL,MD,21128-9704,4040_SCHROEDER_AVE_
8Y918Y,A,PIKESVILLE WESBANCO,1732 REISTERSTOWN RD ,PIKESVILLE,MD,21208-2903,1732_REISTERSTOWN_RD_
8Y9199,A,PRINCE FREDERICK,691 PRINCE FREDERICK BLVD ,PRINCE FREDERICK,MD,20678-3144,691_PRINCE_FREDERICK_BLVD_
8Y91W3,A,LAPLATA WESBANCO,101 E CHARLES ST 102 ,LA PLATA,MD,20646-4901,101_E_CHARLES_ST_102_
8Y921E,A,ROCKVILLE PIKE WEBANCO,1801 ROCKVILLE PIKE 100 ,ROCKVILLE,MD,20852-5642,1801_ROCKVILLE_PIKE_100_
8Y9282,A,WALDORF CRAIN HWY WESBANCO,2995 CRAIN HWY 100 ,WALDORF,MD,20601-2834,2995_CRAIN_HWY_100_
8Y92F4,A,RIVERDALE WESBANCO,6611 BALTIMORE AVE 3C ,RIVERDALE,MD,20737-1025,6611_BALTIMORE_AVE_3C_
