Act_Num,Status,PUP_Name,PUP_Address,PUP_City,PUP_State,PUP_Zip,Symbol
V5117K,A,WESBANCO HILLIARD,4501 CEMETERY RD ,HILLIARD,OH,43026-1102,4501_CEMETERY_RD_
V5118B,A,WESBANCO TALLMADGE,182 TALLMADGE RD ,BRIMFIELD,OH,44240-7206,182_TALLMADGE_RD_
V5118C,A,WESBANCO BELDEN,6141 WHIPPLE AVE NW ,NORTH CANTON,OH,44720-7617,6141_WHIPPLE_AVE_NW_
V5118D,A,WESBANCO FAIRLAWN,3085 WEST MARKET STREET ,FAIRLAWN,OH,44333-3652,3085_WEST_MARKET_STREET_
V5118G,A,WESBANCO AURORA,7075 N AURORA RD ,AURORA,OH,44202-9603,7075_N_AURORA_RD_
V5118H,A,WESBANCO MENTOR,7707 MENTOR AVE ,MENTOR,OH,44060-5446,7707_MENTOR_AVE_
V5118J,A,WESBANCO CHARDON,201 MEADOWLANDS DR ,CHARDON,OH,44024-8366,201_MEADOWLANDS_DR_
V5118K,A,WESBANCO STREETSBORO,1130 STATE ROUTE 303 ,STREETSBORO,OH,44241-5266,1130_STATE_ROUTE_303_
V5119C,A,WESBANCO AVON,2100 CENTER RD A ,AVON,OH,44011-1892,2100_CENTER_RD_A_
V5119D,A,WESBANCO MEDINA,830 N COURT ST ,MEDINA,OH,44256-1719,830_N_COURT_ST_
V5119G,A,WESBANCO ASHLAND,30 EAST MAIN STREET ,ASHLAND,OH,44805-2329,30_EAST_MAIN_STREET_
V5119J,A,WESBANCO STRUTHERS,32 STATE ST ,STRUTHERS,OH,44471-1978,32_STATE_ST_
V5119K,A,WESBANCO NEWPORT GLEN,4005 HILLMAN WAY ,YOUNGSTOWN,OH,44512-1178,4005_HILLMAN_WAY_
V5120B,A,WESBANCO ADRIAN NORTH,300 N MAIN ST ,ADRIAN,MI,49221-2715,300_N_MAIN_ST_
V5120C,A,WESBANCO ADRIAN WEST,1701 W MAUMEE ST ,ADRIAN,MI,49221-1238,1701_W_MAUMEE_ST_
V5120D,A,WESBANCO MORENCI,211 W MAIN ST ,MORENCI,MI,49256-1420,211_W_MAIN_ST_
V5120G,A,WESBANCO HUDSON,539 S MERIDIAN ,HUDSON,MI,49247-9341,539_S_MERIDIAN_
V5120H,A,WESBANCO TECUMSEH WEST,1449 WEST CHICAGO BLVD ,TECUMSEH,MI,49286-8727,1449_WEST_CHICAGO_BLVD_
V5120J,A,WESBANCO ANN HARBOR LPO,2001 COMMONWEALTH BLVD ,ANN ARBOR,MI,48105-2947,2001_COMMONWEALTH_BLVD_
V512B1,A,WESBANCO BOARDMAN,7525 MARKET ST ,YOUNGSTOWN,OH,44512-6039,7525_MARKET_ST_
V512B3,A,WESBANCO KIRK ROAD,4259 KIRK RD ,YOUNGSTOWN,OH,44511-1839,4259_KIRK_RD_
V512B4,A,WESBANCO POLAND,202 S MAIN ST ,POLAND,OH,44514-2025,202_S_MAIN_ST_
V512B5,A,WESBANCO LIBERTY,3500 BELMONT AVE ,YOUNGSTOWN,OH,44505-1402,3500_BELMONT_AVE_
V512B7,A,WESBANCO CANFIELD,29 NORTH BROAD ST ,CANFIELD,OH,44406-1136,29_NORTH_BROAD_ST_
V512B8,A,WESBANCO MCCARTNEY RD,2996 MCCARTNEY RD ,YOUNGSTOWN,OH,44505-5022,2996_MCCARTNEY_RD_
V512B9,A,WESBANCO AUSTINTOWN,6030 MAHONING AVE ,YOUNGSTOWN,OH,44515-2226,6030_MAHONING_AVE_
V512C1,A,WESBANCO EASTWOOD,980 GREAT EAST PLAZA ,NILES,OH,44446-4818,980_GREAT_EAST_PLAZA_
V512C2,A,WESBANCO HOWLAND,4625 N RIVER RD ,WARREN,OH,44484-1052,4625_N_RIVER_RD_
V512C3,A,WESBANCO SALEM,650 EAST STATE ST ,SALEM,OH,44460-2935,650_EAST_STATE_ST_
V512C4,A,WESBANCO LISBON,210 W LINCOLN WAY ,LISBON,OH,44432-1104,210_W_LINCOLN_WAY_
V512C6,A,WESBANCO COLUMBIANA,14825 SOUTH AVENUE EXT ,COLUMBIANA,OH,44408,14825_SOUTH_AVENUE_EXT_
V512C7,A,WESBANCO MARION JAMESWAY,279 JAMESWAWY DRIVE ,MARION,OH,43302,279_JAMESWAWY_DRIVE_
V512D1,A,WESBANCO FINDLAY NORTH,3900 NORTH MAIN ST ,FINDLAY,OH,45840-4217,3900_NORTH_MAIN_ST_
V512D2,A,WESBANCO FOSTORIA,1694 NORTH COUNTY LINE ST ,FOSTORIA,OH,44830-1938,1694_NORTH_COUNTY_LINE_ST_
V512D4,A,WESBANCO FINDLAY DOWNTOWN,301 SOUTH MAIN ST ,FINDLAY,OH,45840-3351,301_SOUTH_MAIN_ST_
V512D5,A,WESBANCO OTTAWA,405 EAST MAIN ST ,OTTAWA,OH,45875-1947,405_EAST_MAIN_ST_
V512D6,A,WESBANCO MCCOMB,124 EAST MAIN ST ,MCCOMB,OH,45858-8407,124_EAST_MAIN_ST_
V512D8,A,WESBANCO FINDLAY EAST,7591 PATRIOT DR ,FINDLAY,OH,45840-7823,7591_PATRIOT_DR_
