Act_Num,Status,PUP_Name,PUP_Address,PUP_City,PUP_State,PUP_Zip,Symbol,Name
F1R499,A,WESBANCO - Market Street,415 MARKET ST ,PARKERSBURG,WV,26101-5338,415_MARKET_ST,415 MARKET ST  (F1R499)
F1R552,A,WESBANCO - Fairmont,301 ADAMS ST ,FAIRMONT,WV,26554-0155,301_ADAMS_ST,301 ADAMS ST  (F1R552)
F1R724,A,WESBANCO FOLLANSBEE,955 MAIN ST ,FOLLANSBEE,WV,26037-1449,955_MAIN_ST,955 MAIN ST  (F1R724)
R04250,A,WESBANCO BANK,28 E MAIN ST ,SPRINGFIELD,OH,45502-1306,28_E_MAIN_ST,28 E MAIN ST  (R04250)
V5117D,A,WESBANCO EAST PALESTINE,127 N MARKET ,EAST PALESTINE,OH,44413-2018,127_N_MARKET,127 N MARKET  (V5117D)
V5117H,A,WESBANCO CALCUTTA,15575 ST ROUTE 170 ,CALCUTTA,OH,43920-9215,15575_ST_ROUTE_170,15575 ST ROUTE 170  (V5117H)
V5117J,A,WESBANCO DUBLIN - BRIDGE PARK,6599 LONGSHORE ST 1ST FLOOR ,DUBLIN,OH,43017-2766,6599_LONGSHORE_ST_1ST_FLOOR,6599 LONGSHORE ST 1ST FLOOR  (V5117J)
V5117K,A,WESBANCO HILLIARD,4501 CEMETERY RD ,HILLIARD,OH,43026-1102,4501_CEMETERY_RD,4501 CEMETERY RD  (V5117K)
V5118B,A,WESBANCO TALLMADGE,182 TALLMADGE RD ,BRIMFIELD,OH,44240-7206,182_TALLMADGE_RD,182 TALLMADGE RD  (V5118B)
V5118C,A,WESBANCO BELDEN,6141 WHIPPLE AVE NW ,NORTH CANTON,OH,44720-7617,6141_WHIPPLE_AVE_NW,6141 WHIPPLE AVE NW  (V5118C)
V5118D,A,WESBANCO FAIRLAWN,3085 WEST MARKET STREET ,FAIRLAWN,OH,44333-3652,3085_WEST_MARKET_STREET,3085 WEST MARKET STREET  (V5118D)
V5118G,A,WESBANCO AURORA,7075 N AURORA RD ,AURORA,OH,44202-9603,7075_N_AURORA_RD,7075 N AURORA RD  (V5118G)
V5118H,A,WESBANCO MENTOR,7707 MENTOR AVE ,MENTOR,OH,44060-5446,7707_MENTOR_AVE,7707 MENTOR AVE  (V5118H)
V5118J,A,WESBANCO CHARDON,201 MEADOWLANDS DR ,CHARDON,OH,44024-8366,201_MEADOWLANDS_DR,201 MEADOWLANDS DR  (V5118J)
V5118K,A,WESBANCO STREETSBORO,1130 STATE ROUTE 303 ,STREETSBORO,OH,44241-5266,1130_STATE_ROUTE_303,1130 STATE ROUTE 303  (V5118K)
V5119C,A,WESBANCO AVON,2100 CENTER RD A ,AVON,OH,44011-1892,2100_CENTER_RD_A,2100 CENTER RD A  (V5119C)
V5119D,A,WESBANCO MEDINA,830 N COURT ST ,MEDINA,OH,44256-1719,830_N_COURT_ST,830 N COURT ST  (V5119D)
V5119G,A,WESBANCO ASHLAND,30 EAST MAIN STREET ,ASHLAND,OH,44805-2329,30_EAST_MAIN_STREET,30 EAST MAIN STREET  (V5119G)
V5119J,A,WESBANCO STRUTHERS,32 STATE ST ,STRUTHERS,OH,44471-1978,32_STATE_ST,32 STATE ST  (V5119J)
V5119K,A,WESBANCO NEWPORT GLEN,4005 HILLMAN WAY ,YOUNGSTOWN,OH,44512-1178,4005_HILLMAN_WAY,4005 HILLMAN WAY  (V5119K)
V5120B,A,WESBANCO ADRIAN NORTH,300 N MAIN ST ,ADRIAN,MI,49221-2715,300_N_MAIN_ST,300 N MAIN ST  (V5120B)
V5120C,A,WESBANCO ADRIAN WEST,1701 W MAUMEE ST ,ADRIAN,MI,49221-1238,1701_W_MAUMEE_ST,1701 W MAUMEE ST  (V5120C)
V5120D,A,WESBANCO MORENCI,211 W MAIN ST ,MORENCI,MI,49256-1420,211_W_MAIN_ST,211 W MAIN ST  (V5120D)
V5120G,A,WESBANCO HUDSON,539 S MERIDIAN ,HUDSON,MI,49247-9341,539_S_MERIDIAN,539 S MERIDIAN  (V5120G)
V5120H,A,WESBANCO TECUMSEH WEST,1449 WEST CHICAGO BLVD ,TECUMSEH,MI,49286-8727,1449_WEST_CHICAGO_BLVD,1449 WEST CHICAGO BLVD  (V5120H)
V5120J,A,WESBANCO ANN HARBOR LPO,2001 COMMONWEALTH BLVD ,ANN ARBOR,MI,48105-2947,2001_COMMONWEALTH_BLVD,2001 COMMONWEALTH BLVD  (V5120J)
V512B1,A,WESBANCO BOARDMAN,7525 MARKET ST ,YOUNGSTOWN,OH,44512-6039,7525_MARKET_ST,7525 MARKET ST  (V512B1)
V512B3,A,WESBANCO KIRK ROAD,4259 KIRK RD ,YOUNGSTOWN,OH,44511-1839,4259_KIRK_RD,4259 KIRK RD  (V512B3)
V512B4,A,WESBANCO POLAND,202 S MAIN ST ,POLAND,OH,44514-2025,202_S_MAIN_ST,202 S MAIN ST  (V512B4)
V512B5,A,WESBANCO LIBERTY,3500 BELMONT AVE ,YOUNGSTOWN,OH,44505-1402,3500_BELMONT_AVE,3500 BELMONT AVE  (V512B5)
V512B7,A,WESBANCO CANFIELD,29 NORTH BROAD ST ,CANFIELD,OH,44406-1136,29_NORTH_BROAD_ST,29 NORTH BROAD ST  (V512B7)
V512B8,A,WESBANCO MCCARTNEY RD,2996 MCCARTNEY RD ,YOUNGSTOWN,OH,44505-5022,2996_MCCARTNEY_RD,2996 MCCARTNEY RD  (V512B8)
V512B9,A,WESBANCO AUSTINTOWN,6030 MAHONING AVE ,YOUNGSTOWN,OH,44515-2226,6030_MAHONING_AVE,6030 MAHONING AVE  (V512B9)
V512C1,A,WESBANCO EASTWOOD,980 GREAT EAST PLAZA ,NILES,OH,44446-4818,980_GREAT_EAST_PLAZA,980 GREAT EAST PLAZA  (V512C1)
